epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.772,1.26636,1.80586,1.58258,0.55066,0.43903,0.42702,0.24306,1.47816,5.5543,1.75616,0.000665664,0.000665664,0.000665664
2,258.474,1.35821,1.64407,1.66923,0.53052,0.45109,0.45409,0.26569,1.38388,4.75974,1.67117,0.0012444,0.0012444,0.0012444
3,380.262,1.32076,1.58341,1.65256,0.59463,0.45433,0.48655,0.28881,1.41391,5.18436,1.68135,0.00173513,0.00173513,0.00173513
4,503.311,1.26422,1.49508,1.60984,0.65394,0.49618,0.55056,0.36142,1.23467,5.41134,1.53263,0.001604,0.001604,0.001604
5,627.031,1.20487,1.40057,1.55951,0.71315,0.53883,0.63053,0.42015,1.13147,3.94819,1.45486,0.001472,0.001472,0.001472
6,790.454,1.26465,1.41071,1.68629,0.65695,0.53521,0.59243,0.38506,1.18454,4.59038,1.49298,0.00134,0.00134,0.00134
7,905.608,1.20028,1.31976,1.63493,0.67337,0.51429,0.58771,0.39594,1.13363,5.79774,1.4618,0.001208,0.001208,0.001208
8,1025.82,1.17668,1.23969,1.60419,0.72095,0.56142,0.65091,0.45349,1.08907,5.67006,1.4015,0.001076,0.001076,0.001076
9,1146.11,1.13625,1.17643,1.56616,0.73028,0.57465,0.66089,0.4785,1.00683,5.7388,1.33528,0.000944,0.000944,0.000944
10,1257.89,1.10715,1.12604,1.54039,0.75609,0.60001,0.69669,0.49731,1.01267,4.42309,1.32753,0.000812,0.000812,0.000812
11,1366.82,1.0713,1.07684,1.50664,0.78571,0.59598,0.70599,0.51463,0.98262,3.90382,1.32614,0.00068,0.00068,0.00068
12,1474.76,1.03824,1.0284,1.48465,0.77534,0.62736,0.73086,0.53331,0.95763,2.82615,1.29905,0.000548,0.000548,0.000548
13,1590.58,1.01573,0.98017,1.46301,0.79467,0.62297,0.72722,0.54134,0.92613,4.9121,1.2675,0.000416,0.000416,0.000416
14,1707.48,0.98332,0.93681,1.43173,0.82557,0.62661,0.74545,0.55747,0.90429,4.089,1.24006,0.000284,0.000284,0.000284
15,1816.62,0.95825,0.89171,1.4133,0.7889,0.65835,0.75097,0.56368,0.89281,3.49961,1.23904,0.000152,0.000152,0.000152
